Time,Time_step,act_pos1,act_pos2,act_pos3,act_pos4,act_pos5,act_pos6,act_pos7,des_pos1,des_pos2,des_pos3,des_pos4,des_pos5,des_pos6,des_pos7,trq1,trq2,trq3,trq4,trq5,trq6,trq7,mode
0.1504061222076416,0,-0.9927360895493008,0.7117165252033696,0.497700356403353,-1.2366846244377003,-0.32371226315332513,2.1233662755489338,-0.253376332355898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.16709256172180176,0,-0.992725488624289,0.7117129052675479,0.4977003321018114,-1.236681005160014,-0.32371572106623997,2.1233669876257575,-0.25337489968208077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.18380975723266602,0,-0.9925485059734368,0.7117150584720112,0.4976986495165191,-1.2366879653094107,-0.32371572131069903,2.1233669876257575,-0.25337301350468566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.20044708251953125,0,-0.9923740144594234,0.711714976038042,0.49769652070000325,-1.2366862949825719,-0.32371677559039297,2.1233602596121166,-0.2533723019153994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.21717190742492676,0,-0.9922212374046909,0.7117178785173517,0.4976935118250152,-1.2366911839582098,-0.32371678880850463,2.123360083690334,-0.2533726963392869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2338390350341797,0,-0.9921052405370947,0.7117240012562859,0.49769546066668996,-1.2366996555315974,-0.3237167844205999,2.123358557144801,-0.25337752893337073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2505476474761963,0,-0.9919877356623699,0.7117287739202675,0.4976954596855435,-1.2366996923245879,-0.32371534790668954,2.123358556983295,-0.2533777381670786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.26721715927124023,0,-0.9918634898540558,0.7117360126344782,0.4976935118248588,-1.2367093468734138,-0.32371475430329544,2.1233593578649317,-0.2533723014278792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2839236259460449,0,-0.9917290559671577,0.7117360126344782,0.49769880153840046,-1.2367169954325847,-0.3237154663801193,2.123359370946662,-0.2533733705527916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.30059289932250977,0,-0.991595886058447,0.7117364484146527,0.4976971311385475,-1.2367205275978828,-0.3237154663801193,2.1233615025774344,-0.2533733809146419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3173034191131592,0,-0.9914520852644038,0.7117387549606606,0.4977007344310702,-1.2367275150967145,-0.3237154663801193,2.1233586522437538,-0.2533778580269158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.33396220207214355,0,-0.9912859719612935,0.711742572157001,0.4976988015384011,-1.2367461183713249,-0.3237167888085047,2.123355208158827,-0.2533777923080784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.35068440437316895,0,-0.9911370412422789,0.7117565847028421,0.49769713985110076,-1.2367716965956066,-0.3237147543032963,2.1233527591839483,-0.25338023449239777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3673243522644043,0,-0.990977685004434,0.7117512993226971,0.49770118075126396,-1.2368616394933725,-0.3237147543032963,2.123353790227437,-0.2533750660124476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3840470314025879,0,-0.9908238600544655,0.7117546401944076,0.49769758703417755,-1.2369838161733786,-0.3237154663801193,2.1233530766963957,-0.25338177039533294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4007086753845215,0,-0.990668366589303,0.7117493504808658,0.49770364914550763,-1.2371156382308102,-0.3237154663801193,2.123354602575302,-0.25337781100770557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4174070358276367,0,-0.9905165911604035,0.7117576221834149,0.49770704385343556,-1.2372645433644087,-0.32371414395173387,2.123355314652125,-0.25337933268203827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4340672492980957,0,-0.990359638381494,0.7117703871098859,0.49770366082274936,-1.2374364978785075,-0.3237160767316818,2.123355314652125,-0.2533829865029256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4507629871368408,0,-0.9901964987180576,0.7117769679760892,0.4977036608227512,-1.2376214123301117,-0.3237154663801193,2.1233560267289477,-0.25337008159254665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.46740055084228516,0,-0.9900197357350815,0.7117784948501846,0.4977019903868959,-1.2378589349424474,-0.3237154663801193,2.1233560267289477,-0.2533723458506999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4841005802154541,0,-0.9898461004830102,0.7117828161395781,0.4976988048324615,-1.2381085397211986,-0.3237167888085047,2.123355314652125,-0.25337479332313473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5007572174072266,0,-0.989673021125536,0.711798976500028,0.4976957164610039,-1.2383417807572028,-0.3237154663801193,2.123356738805771,-0.2533745795308307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5174658298492432,0,-0.9894750661487725,0.7118084321881679,0.49769570659837337,-1.2385821939053008,-0.3237167888085047,2.1233581629594167,-0.2533752514604068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5341222286224365,0,-0.9892436688323217,0.7118124177665702,0.4976935118248607,-1.2387696362454534,-0.3237154663801193,2.123356738805771,-0.25336853759321903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
