Time,Time_step,act_pos1,act_pos2,act_pos3,act_pos4,act_pos5,act_pos6,act_pos7,des_pos1,des_pos2,des_pos3,des_pos4,des_pos5,des_pos6,des_pos7,trq1,trq2,trq3,trq4,trq5,trq6,trq7,mode
0.1505117416381836,0,-1.002064117760519,0.6999124039862649,0.5824296338410082,-1.213454429392229,-0.3075459875302885,2.021997264362787,0.23506591453969825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.16721773147583008,0,-1.002064117760519,0.6999124039862649,0.5824296338410082,-1.213454429392229,-0.3075459875302885,2.021997264362787,0.23506591453969825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.18391847610473633,0,-1.0019490731334537,0.6998907708087563,0.5829958696123568,-1.2134508101145425,-0.3075467015232456,2.0217113323894655,0.23507542248294433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.20058226585388184,0,-1.0018376588855962,0.6998646079588778,0.583515331230891,-1.213454429392229,-0.30754420467344495,2.021529907666266,0.23508180037483006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2172684669494629,0,-1.0017156313526567,0.6998517936799848,0.5839888548764324,-1.2134527589568223,-0.30754564190903466,2.0213820833230485,0.23508758434391755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.23394107818603516,0,-1.0015949858383608,0.6998345064972074,0.5843455386048005,-1.2134511289871277,-0.3075459894683309,2.0213357531079605,0.23510229706591868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2506372928619385,0,-1.0014419645034178,0.6997949168372377,0.5846426224139161,-1.213449960902726,-0.3075467013776912,2.0213167232595546,0.23511530331653174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2673075199127197,0,-1.0012773098446623,0.6997765258295766,0.5848567854717034,-1.2134609889024763,-0.3075466492193635,2.0212920996377486,0.23512417276637076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.2839846611022949,0,-1.001127145385633,0.6997838555679264,0.585016146427143,-1.2134657573749295,-0.3075456375483886,2.021266672000938,0.23512750356776274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3006551265716553,0,-1.0009465017387031,0.6997967749915391,0.5851661888181477,-1.213489158996579,-0.307546684103902,2.0212175397036325,0.23513228749082243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3173344135284424,0,-1.0007702102245282,0.6998045541515796,0.5852577370565937,-1.213529970014538,-0.30754731189873474,2.021164690466133,0.23512862546245256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.33400988578796387,0,-1.000604853165768,0.6997992644393652,0.5853226455764974,-1.213615107273255,-0.30754281054931504,2.0211151169056345,0.2351263875610633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3506922721862793,0,-1.0004368746636698,0.6997975940035099,0.5853996850892441,-1.213739105931388,-0.3075414876408191,2.021067686770274,0.23512862546245258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.36736083030700684,0,-1.000296427394417,0.6997992644393652,0.5855191201077637,-1.2138880090098483,-0.30754598898580804,2.021033032296729,0.23512862546245258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.3840346336364746,0,-1.0001805392016376,0.6998009348752204,0.585657458873304,-1.2140486464788374,-0.3075452754016243,2.021001728932579,0.23513088053428097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.40070080757141113,0,-1.0000676630788736,0.6998045541529069,0.58580554738203,-1.2142299593384935,-0.30754563479810765,2.020983163413972,0.23513088053428188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.41738033294677734,0,-0.9999669662084143,0.6997956451616788,0.5859777538791191,-1.2144388820986218,-0.3075465794489489,2.020977865492136,0.235127099589585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.434051513671875,0,-0.9998800562654336,0.6997923042899683,0.58616562479358,-1.2146571874977918,-0.3075455969579449,2.0209721598570907,0.2351300496160984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4507284164428711,0,-0.9998083777033042,0.6997804975933952,0.5863714780462774,-1.2148977252611974,-0.307544667022022,2.0209634867539115,0.23513009070317453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4674105644226074,0,-0.9997569508178954,0.6997729976971964,0.5865853331139639,-1.2151336964116448,-0.30754670103799037,2.0209611572738657,0.23513157549507951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.4840962886810303,0,-0.999737264228749,0.6997676928840295,0.5868236830680448,-1.215369723634281,-0.3075459705741962,2.020952380173568,0.23513401002341827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5007553100585938,0,-0.9997284699321618,0.6997719097139529,0.5870910730518483,-1.2156168810365195,-0.30754633523456515,2.0209461681060876,0.23513116078253435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5174431800842285,0,-0.9997273969963085,0.6997634930865755,0.5873412516585935,-1.215860573352328,-0.30754340489521154,2.0209389328231664,0.2351315358655729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
0.5340898036956787,0,-0.9997293458361375,0.6997564262606436,0.5875748642066776,-1.2160882089598002,-0.3075430733461409,2.020932837935353,0.23513343853145513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_guidance
