Time,pos1,pos2,pos3,pos4,pos5,pos6,pos7
0,-0.7491764318513603,0.9024484232019461,0.3311455822741962,-1.098322139527962,0.020024629896170154,2.034348976495165,0.05184090978477762
1,-0.7298745740366996,0.8724968466598639,0.3392544311299872,-1.092553186842805,0.006904357270911987,1.9917357708546959,0.0903120173603078
2,-0.7096695400980764,0.8446906400956138,0.3467075585668411,-1.0878772291523475,-0.008283282218542354,1.951623117244349,0.1282388314934444
3,-0.6886349950120945,0.8189680584668935,0.35354009631021555,-1.084259122016146,-0.025313090662962168,1.9139768428805013,0.16559661079156207
4,-0.6668437046836857,0.7952670710231047,0.3597868920280476,-1.0816631499137586,-0.04396520946565374,1.8787617030910617,0.2023626741486293
5,-0.6443675025083877,0.7735253837897673,0.36548249409843336,-1.0800530365018783,-0.0640252371175336,1.8459413888194298,0.23851642197327827
6,-0.6212772563622195,0.7536804622596129,0.37066113650302057,-1.0793919552246116,-0.08528434420372832,1.8154785347369256,0.2740393562874761
7,-0.5976428360441588,0.7356695542759759,0.3753567238570561,-1.0796425402718075,-0.10753938554395859,1.7873347279616496,0.30891509967279873
8,-0.573533081198164,0.719429713092957,0.37960281658792283,-1.0807668978797906,-0.13059300936907903,1.7614705173816425,0.3431294130448972
9,-0.5490157697393272,0.7048978205974983,0.38343261627365877,-1.0827266179686887,-0.15425376343662833,1.737845423579122,0.37667021223515285
10,-0.5241575868097925,0.6920106106778228,0.3868789511520525,-1.085482786110017,-0.17833619799694134,1.7164179493522962,0.4095275833623706
11,-0.4990240942894104,0.6807046927222622,0.38997426181250816,-1.0889959958179833,-0.20266096551623036,1.697145590830555,0.44169379697581235
12,-0.4736797008846878,0.6709165752331252,0.3927505870805419,-1.0932263611575141,-0.22705491707040437,1.6799848491783322,0.4731633209541659
13,-0.4481876328215293,0.6625826895387839,0.3952395501071564,-1.0981335296618226,-0.25135119532313865,1.6648912428824332,0.503932832143696
14,-0.42260990516368935,0.6556394135884389,0.3974723446726003,-1.1036766955518544,-0.27538932401043326,1.6518193206167844,0.5340012267226282
15,-0.39700729378112243,0.6500230958126814,0.39947972171617074,-1.1098146132497746,-0.29901529384605396,1.6407226746783472,0.5633696292778607
16,-0.37143930799006597,0.6456700790336214,0.40129197610181144,-1.1165056111781517,-0.3220816447785637,1.6315539549869484,0.5920414005824872
17,-0.3459641638877926,0.6425167244077343,0.40293893363036837,-1.1237076058364899,-0.34444754452133,1.624264883641903,0.6200221440624007
18,-0.3206387584019623,0.6404994353849567,0.40444993830796605,-1.131378116146264,-0.3659788632895129,1.6188062700269619,0.6473197109436519
19,-0.29551864407686423,0.6395546816669793,0.4058538398809297,-1.1394742780551255,-0.3865482446770727,1.6151280264549612,0.6739442040716543
20,-0.2706580046157967,0.6396190231480894,0.40717898164676747,-1.147952859391351,-0.4060351726084832,1.613179184343366,0.6999079803942116
